1.00E-05	1176.37
1.10E-05	1120.1
1.22E-05	1066.52
1.34E-05	1015.5
1.48E-05	966.925
1.63E-05	920.675
1.80E-05	876.639
1.99E-05	834.711
2.19E-05	794.79
2.42E-05	756.781
2.67E-05	720.592
2.94E-05	686.135
3.24E-05	653.329
3.58E-05	622.094
3.95E-05	592.354
4.35E-05	564.039
4.80E-05	537.081
5.29E-05	511.84
5.30E-05	511.443
5.83E-05	487.383
5.84E-05	487.005
6.43E-05	464.097
6.44E-05	463.737
7.10E-05	441.928
7.11E-05	441.585
7.83E-05	420.821
7.84E-05	420.495
8.63E-05	400.726
8.65E-05	400.416
9.52E-05	381.595
9.54E-05	381.3
0.00010506	363.382
0.000105235	363.101
0.000115885	346.042
0.000116078	345.775
0.000127826	329.535
0.000128039	329.28
0.000140996	313.82
0.000141232	313.576
0.000155524	298.86
0.000155784	298.628
0.000171549	284.618
0.000171835	284.398
0.000189225	271.061
0.00018954	270.852
0.000208722	258.155
0.00020907	257.956
0.000230228	245.871
0.000230612	245.681
0.00025395	234.177
0.000254374	233.997
0.000280116	223.047
0.000280583	222.876
0.000308979	212.453
0.000309494	212.29
0.000340815	202.371
0.000341383	202.215
0.000375931	192.774
0.000376558	192.626
0.000414666	183.641
0.000415358	183.5
0.000457392	174.95
0.000458155	174.816
0.00050452	166.68
0.000505362	166.552
0.000556504	158.81
0.000557433	158.689
0.000613845	151.322
0.000614869	151.207
0.000677094	144.198
0.000678223	144.088
0.000746859	137.421
0.000748105	137.316
0.000823813	130.974
0.000825188	130.875
0.000908697	124.842
0.000910213	124.747
0.00100233	119.01
0.001004	118.92
0.0011056	113.464
0.00110745	113.379
0.00121952	108.191
0.00122156	108.11
0.00134518	103.178
0.00134742	103.101
0.00148378	98.413
0.00148625	98.3395
0.00163666	93.8843
0.00163939	93.8145
0.0018053	89.5811
0.00180831	89.5152
0.00199463	85.4422
0.00200536	85.2082
0.00220016	81.5802
0.00222748	81.0723
0.00242685	77.9093
0.00247432	77.1578
0.00267691	74.4211
0.00274839	73.4575
0.00295273	71.1078
0.00305296	69.9577
0.00325697	67.9616
0.00339112	66.6519
0.00359256	64.9755
0.00376691	63.5278
0.00396272	62.1425
0.00418415	60.5795
0.00437103	59.4561
0.00464783	57.796
0.00482141	56.91
0.00516263	55.1721
0.00531819	54.4982
0.00573475	52.6978
0.00586616	52.215
0.00636995	50.3685
0.00647059	50.0551
0.00707585	48.1752
0.0071373	48.0132
0.0078596	46.1136
0.00787271	46.0844
0.00868389	44.2797
0.00873058	44.1761
0.00957865	42.5816
0.00969761	42.3584
0.0105656	40.9884
0.0108477	40.5441
0.0116543	39.4827
0.0121343	38.8525
0.0128551	38.0628
0.0135734	37.2776
0.0141796	36.7255
0.0151832	35.8137
0.0156406	35.4679
0.0169839	34.4552
0.0172522	34.2881
0.0190298	33.1844
0.0191321	33.1211
0.0209906	32.1783
0.0215511	31.8947
0.0231534	31.2321
0.0242771	30.7686
0.0252209	30.4282
0.0252419	30.4209
0.0253		30.4007
0.0279068	29.5914
0.0286998	29.3459
0.0307823	28.8284
0.0325565	28.3888
0.033954	28.1133
0.037192	27.4771
0.0374525	27.4367
0.0413115	26.841
0.0424854	26.6603
0.0455681	26.29
0.0488745	25.8941
0.0502633	25.7664
0.0554423	25.2917
0.0566211	25.1841
0.0611549	24.8712
0.0660549	24.5343
0.0674561	24.4626
0.0744066	24.1087
0.0776004	23.9467
0.0820732	23.7819
0.0905297	23.4715
0.0924546	23.4012
0.0998577	23.2102
0.110147	22.946
0.111701	22.9063
0.121496	22.7345
0.134014	22.5161
0.136864	22.4666
0.147823	22.3404
0.163054	22.166
0.171253	22.0726
0.179855	22.0105
0.198386	21.8777
0.218827	21.7321
0.220371	21.7212
0.241375	21.6323
0.266245	21.5279
0.293678	21.4135
0.323938	21.344
0.357316	21.2681
0.394132	21.1851
0.41105		21.1472
0.434743	21.1206
0.479537	21.0708
0.528947	21.0165
0.583448	20.9571
0.612785	20.9254
0.643565	20.9108
0.709876	20.8799
0.78302		20.8463
0.8637		20.8097
0.952693	20.7697
1.0076		20.7453
1.05086		20.7385
1.15913		20.7218
1.27857		20.7038
1.4103		20.6844
1.55562		20.6632
1.7159		20.6402
1.89271		20.6151
1.96022		20.6056
2.08772		20.6013
2.30284		20.5942
2.54012		20.5866
2.80184		20.5786
3.09053		20.5699
3.40897		20.5605
3.76022		20.5504
4.14767		20.5395
4.57503		20.5277
5.04642		20.5148
5.33729		20.5069
5.56639		20.5062
6.13994		20.5044
6.77258		20.5026
7.4704		20.5007
8.24013		20.4988
9.08917		20.4969
10.0257		20.4949
11.0587		20.4928
12.2842		20.4905
13.5499		20.4882
14.9461		20.4858
16.6016		20.483
18.3121		20.4803
20.199		20.4773
22.2802		20.4742
24.7492		20.4705
27.1081		20.4671
30.1122		20.4629
33.4475		20.4582
36.8938		20.4535
40.6952		20.4484
43.3445		20.4448
44.8884		20.4445
49.5135		20.4435
55.0005		20.4424
60.6676		20.4414
66.9186		20.4403
73.8137		20.4391
81.4192		20.4379
89.8084		20.4365
99.7559		20.435
110.811		20.4333
121.372		20.4318
132.947		20.4301
145.618		20.4283
158.387		20.4266
173.492		20.4245
190.027		20.4222
206.691		20.42
226.402		20.4173
246.256		20.4147
267.85		20.4119
291.338		20.4088
314.667		20.4058
344.675		20.4019
377.526		20.3976
410.632		20.3934
449.791		20.3883
492.661		20.3829
535.863		20.3773
578.799		20.3719
642.909		20.3637
694.423		20.3572
750.027		20.3502
833.143		20.3396
906.203		20.3304
